Region,Subject,Session,Neuron,State,FR
Visual,16,16.1,62,Still,16.61090797
Visual,16,16.1,62,Moving,15.5452256
Visual,16,16.1,63,SWD,4.587709553
Visual,16,16.1,63,Still,4.60035891
Visual,16,16.1,63,Moving,5.660759237
Visual,16,16.1,64,SWD,0.4348119305
Visual,16,16.1,64,Still,0.1486582997
Visual,16,16.1,64,Moving,0.5688706925
Visual,16,16.1,65,SWD,0.1242319802
Visual,16,16.1,65,Still,0.7986832851
Visual,16,16.1,65,Moving,0.04597845534
Visual,16,16.1,66,SWD,10.07166411
Visual,16,16.1,66,Still,9.846955334
Visual,16,16.1,66,Moving,12.56473984
Visual,16,16.1,67,SWD,10.41773891
Visual,16,16.1,67,Still,11.81549422
Visual,16,16.1,67,Moving,25.95348573
Visual,16,16.1,68,SWD,68.91325413
Visual,16,16.1,68,Still,55.5499138
Visual,16,16.1,68,Moving,56.59316775
Visual,16,16.1,69,SWD,63.05660364
Visual,16,16.1,69,Still,46.35866466
Visual,16,16.1,69,Moving,67.19345555
Visual,16,16.1,70,SWD,12.60067227
Visual,16,16.1,70,Still,13.50944134
Visual,16,16.1,70,Moving,13.96032119
Visual,16,16.1,71,SWD,10.14265381
Visual,16,16.1,71,Still,10.70055697
Visual,16,16.1,71,Moving,2.279990462
Visual,16,16.1,72,SWD,5.989756186
Visual,16,16.1,72,Still,6.593516368
Visual,16,16.1,72,Moving,24.26580596
Somatosensory,17,17.1,73,SWD,0.2037233703
Somatosensory,17,17.1,73,Still,0.62746948
Somatosensory,17,17.1,73,Moving,0.5872623785
Somatosensory,17,17.1,74,SWD,0.1455166931
Somatosensory,17,17.1,74,Still,0.7177578937
Somatosensory,17,17.1,74,Moving,0.2587935905
Somatosensory,17,17.1,75,SWD,0.05820667722
Somatosensory,17,17.1,75,Still,0.1991244474
Somatosensory,17,17.1,75,Moving,0.009953599636
Somatosensory,17,17.1,76,SWD,5.833140581
Somatosensory,17,17.1,76,Still,16.85663687
Somatosensory,17,17.1,76,Moving,44.10108212
Somatosensory,17,17.1,77,SWD,1.88340177
Somatosensory,17,17.1,77,Still,4.860876228
Somatosensory,17,17.1,77,Moving,11.07503853
Somatosensory,17,17.1,78,SWD,0.440707699
Somatosensory,17,17.1,78,Still,1.599644726
Somatosensory,17,17.1,78,Moving,0.6801626418
Somatosensory,17,17.1,79,SWD,0.7816325227
Somatosensory,17,17.1,79,Still,1.42676691
Somatosensory,17,17.1,79,Moving,0.7332485065
Somatosensory,17,17.1,80,SWD,7.932738581
Somatosensory,17,17.1,80,Still,8.605045758
Somatosensory,17,17.1,80,Moving,5.653644593
Somatosensory,17,17.1,81,SWD,0.9271492157
Somatosensory,17,17.1,81,Still,2.958870303
Somatosensory,17,17.1,81,Moving,2.279374317
Somatosensory,17,17.1,82,SWD,0.9520949345
Somatosensory,17,17.1,82,Still,2.286956526
Somatosensory,17,17.1,82,Moving,2.166566854
Somatosensory,17,17.1,83,SWD,0.1663047921
Somatosensory,17,17.1,83,Still,1.004371114
Somatosensory,17,17.1,83,Moving,0.8294666364
Somatosensory,17,17.1,84,SWD,0.4282348396
Somatosensory,17,17.1,84,Still,1.695532421
Somatosensory,17,17.1,84,Moving,1.466497013
Somatosensory,17,17.1,85,SWD,0.1787776515
Somatosensory,17,17.1,85,Still,1.014519812
Somatosensory,17,17.1,85,Moving,0.7597914389
Somatosensory,17,17.1,86,SWD,0.02078809901
Somatosensory,17,17.1,86,Still,0.4538917543
Somatosensory,17,17.1,86,Moving,0.4976799818
Somatosensory,17,17.1,87,SWD,7.092899381
Somatosensory,17,17.1,87,Still,9.998916889
Somatosensory,17,17.1,87,Moving,19.0810505
Somatosensory,17,17.1,88,SWD,8.16972291
Somatosensory,17,17.1,88,Still,14.94448225
Somatosensory,17,17.1,88,Moving,4.243551312
Somatosensory,17,17.1,89,SWD,0.2993486257
Somatosensory,17,17.1,89,Still,0.4503922034
Somatosensory,17,17.1,89,Moving,0.9621812982
Somatosensory,17,17.1,90,SWD,0.1663047921
Somatosensory,17,17.1,90,Still,1.630440774
Somatosensory,17,17.1,90,Moving,0.3915082524
Somatosensory,17,17.1,91,SWD,1.654732681
Somatosensory,17,17.1,91,Still,4.986160151
Somatosensory,17,17.1,91,Moving,10.87264867
Somatosensory,17,17.1,92,SWD,3.496558253
Somatosensory,17,17.1,92,Still,9.512479311
Somatosensory,17,17.1,92,Moving,1.970812728
Somatosensory,17,17.1,93,SWD,1.313807857
Somatosensory,17,17.1,93,Still,1.602444366
Somatosensory,17,17.1,93,Moving,1.512947145
Somatosensory,17,17.1,94,SWD,0.8772577781
Somatosensory,17,17.1,94,Still,3.336471847
Somatosensory,17,17.1,94,Moving,1.493039945
Somatosensory,17,17.1,95,SWD,4.452810807
Somatosensory,17,17.1,95,Still,5.737863689
Somatosensory,17,17.1,95,Moving,2.959536959
Somatosensory,17,17.1,96,SWD,3.76264592
Somatosensory,17,17.1,96,Still,5.186334464
Somatosensory,17,17.1,96,Moving,8.789028479
Somatosensory,17,17.1,97,SWD,1.999815125
Somatosensory,17,17.1,97,Still,3.732271056
Somatosensory,17,17.1,97,Moving,1.974130595
Somatosensory,17,17.1,98,SWD,4.323924594
Somatosensory,17,17.1,98,Still,2.761495631
Somatosensory,17,17.1,98,Moving,3.447263341
Somatosensory,17,17.1,99,SWD,10.18201089
